MsgID.STATE,1527348119.8947570,False,False
MsgID.GLOBAL_HOME,1527348123.9701517,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348123.9703939,-122.3974500,37.7924802,0.2260000
MsgID.LOCAL_VELOCITY,1527348123.9703939,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348123.9707174,-0.0192131,0.2928828,-0.2259457
MsgID.LOCAL_VELOCITY,1527348123.9707174,0.0000133,-0.0000025,0.0000194
MsgID.GLOBAL_POSITION,1527348123.9709229,-122.3974494,37.7924815,0.2050000
MsgID.LOCAL_VELOCITY,1527348123.9709229,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348123.9710896,0.1216696,0.3417460,-0.2053593
MsgID.LOCAL_VELOCITY,1527348123.9710896,0.0000069,-0.0000153,0.0000189
MsgID.GLOBAL_POSITION,1527348123.9712443,-122.3974486,37.7924808,0.1750000
MsgID.LOCAL_VELOCITY,1527348123.9712443,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348123.9713726,0.0283348,0.4174552,-0.1739449
MsgID.LOCAL_VELOCITY,1527348123.9713726,0.0000052,-0.0000357,0.0000182
MsgID.GLOBAL_POSITION,1527348123.9715126,-122.3974492,37.7924800,0.1400000
MsgID.LOCAL_VELOCITY,1527348123.9715126,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348123.9716446,-0.0413770,0.3519333,-0.1388406
MsgID.LOCAL_VELOCITY,1527348123.9716446,0.0000012,-0.0000179,0.0000177
MsgID.STATE,1527348123.9718606,True,True
MsgID.GLOBAL_HOME,1527348123.9720387,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348123.9721525,-122.3974514,37.7924811,0.1070000
MsgID.LOCAL_VELOCITY,1527348123.9721525,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348123.9722829,0.0737436,0.1613869,-0.1066698
MsgID.LOCAL_VELOCITY,1527348123.9722829,0.0000072,0.0000012,0.0000202
MsgID.GLOBAL_POSITION,1527348124.2216938,-122.3974517,37.7924792,0.3500000
MsgID.LOCAL_VELOCITY,1527348124.2216938,0.0000000,0.0000000,-2.2100000
MsgID.LOCAL_POSITION,1527348124.2244847,-0.1333732,0.1342210,-0.3506992
MsgID.LOCAL_VELOCITY,1527348124.2244847,0.0037118,0.0013500,-2.2144687
MsgID.GLOBAL_POSITION,1527348124.4713607,-122.3974509,37.7924788,1.0710000
MsgID.LOCAL_VELOCITY,1527348124.4713607,0.0300000,0.0000000,-3.6500000
MsgID.LOCAL_POSITION,1527348124.4737225,-0.1781670,0.2056566,-1.0712506
MsgID.LOCAL_VELOCITY,1527348124.4737225,0.0310254,0.0019484,-3.6506512
MsgID.GLOBAL_POSITION,1527348124.7218347,-122.3974485,37.7924786,2.0390000
MsgID.LOCAL_VELOCITY,1527348124.7218347,0.0400000,0.0000000,-4.0600000
MsgID.LOCAL_POSITION,1527348124.7241948,-0.2045951,0.4232965,-2.0396736
MsgID.LOCAL_VELOCITY,1527348124.7241948,0.0426533,-0.0055210,-4.0655503
MsgID.STATE,1527348124.9651561,True,True
MsgID.GLOBAL_HOME,1527348124.9665146,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348125.0066216,-122.3974482,37.7924788,3.0600000
MsgID.LOCAL_VELOCITY,1527348125.0066216,0.0400000,-0.0200000,-4.2000000
MsgID.LOCAL_POSITION,1527348125.0072141,-0.1714085,0.4506981,-3.1070037
MsgID.LOCAL_VELOCITY,1527348125.0072141,0.0446868,-0.0263879,-4.1949272
MsgID.GLOBAL_POSITION,1527348125.2224236,-122.3974491,37.7924799,4.1260000
MsgID.LOCAL_VELOCITY,1527348125.2224236,0.0400000,-0.0300000,-4.2500000
MsgID.LOCAL_POSITION,1527348125.2245629,-0.0544441,0.3696452,-4.1392179
MsgID.LOCAL_VELOCITY,1527348125.2245629,0.0462414,-0.0392362,-4.2536035
MsgID.GLOBAL_POSITION,1527348125.4708657,-122.3974508,37.7924800,5.1020000
MsgID.LOCAL_VELOCITY,1527348125.4708657,0.0300000,-0.0400000,-2.8900000
MsgID.LOCAL_POSITION,1527348125.4751849,-0.0434234,0.2169576,-5.1294889
MsgID.LOCAL_VELOCITY,1527348125.4751849,0.0386115,-0.0402747,-2.7921772
MsgID.GLOBAL_POSITION,1527348125.7216539,-122.3974507,37.7924807,5.5120000
MsgID.LOCAL_VELOCITY,1527348125.7216539,0.0300000,-0.0300000,-0.3300000
MsgID.LOCAL_POSITION,1527348125.7630925,0.0245350,0.2274989,-5.5159879
MsgID.LOCAL_VELOCITY,1527348125.7630925,0.0362405,-0.0378015,-0.2112004
MsgID.STATE,1527348125.9652042,True,True
MsgID.GLOBAL_HOME,1527348125.9654191,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348126.0065842,-122.3974499,37.7924794,5.3020000
MsgID.LOCAL_VELOCITY,1527348126.0065842,0.1200000,-0.0400000,1.7500000
MsgID.LOCAL_POSITION,1527348126.0068510,-0.1127764,0.2989922,-5.2923317
MsgID.LOCAL_VELOCITY,1527348126.0068510,0.1389891,-0.0413342,1.7832263
MsgID.GLOBAL_POSITION,1527348126.2217879,-122.3974505,37.7924817,4.8610000
MsgID.LOCAL_VELOCITY,1527348126.2217879,1.6700000,-0.1000000,1.3000000
MsgID.LOCAL_POSITION,1527348126.2242343,0.1465310,0.2415559,-4.8619285
MsgID.LOCAL_VELOCITY,1527348126.2242343,1.6737922,-0.1038242,1.3026443
MsgID.GLOBAL_POSITION,1527348126.4717824,-122.3974513,37.7924894,4.7480000
MsgID.LOCAL_VELOCITY,1527348126.4717824,3.8800000,-0.1800000,-0.3800000
MsgID.LOCAL_POSITION,1527348126.4743335,1.0563170,0.1671890,-4.7555714
MsgID.LOCAL_VELOCITY,1527348126.4743335,4.0182819,-0.1923282,-0.4943988
MsgID.GLOBAL_POSITION,1527348126.7219362,-122.3974531,37.7924983,4.9550000
MsgID.LOCAL_VELOCITY,1527348126.7219362,5.1400000,-0.2100000,-0.6800000
MsgID.LOCAL_POSITION,1527348126.7249973,2.0160971,0.0130308,-4.9605083
MsgID.LOCAL_VELOCITY,1527348126.7249973,5.1509762,-0.2101790,-0.6560104
MsgID.STATE,1527348126.9647424,True,True
MsgID.GLOBAL_HOME,1527348126.9659932,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348127.0065281,-122.3974515,37.7925103,5.0000000
MsgID.LOCAL_VELOCITY,1527348127.0065281,5.5400000,-0.1600000,0.2400000
MsgID.LOCAL_POSITION,1527348127.0070944,3.3989706,0.1696402,-4.9977674
MsgID.LOCAL_VELOCITY,1527348127.0070944,5.5633736,-0.1626515,0.2637246
MsgID.GLOBAL_POSITION,1527348127.2232027,-122.3974515,37.7925232,4.9310000
MsgID.LOCAL_VELOCITY,1527348127.2232027,5.2400000,-0.2000000,0.1800000
MsgID.LOCAL_POSITION,1527348127.2256339,4.7580342,0.1575526,-4.9317393
MsgID.LOCAL_VELOCITY,1527348127.2256339,5.2455435,-0.2089316,0.1857444
MsgID.GLOBAL_POSITION,1527348127.4709394,-122.3974533,37.7925336,4.9310000
MsgID.LOCAL_VELOCITY,1527348127.4709394,3.3700000,-0.2300000,-0.1200000
MsgID.LOCAL_POSITION,1527348127.4758732,5.9130182,-0.0070059,-4.9313354
MsgID.LOCAL_VELOCITY,1527348127.4758732,3.3674729,-0.2366275,-0.1210186
MsgID.GLOBAL_POSITION,1527348127.7209556,-122.3974539,37.7925393,4.9540000
MsgID.LOCAL_VELOCITY,1527348127.7209556,2.5800000,0.2100000,-0.0500000
MsgID.LOCAL_POSITION,1527348127.7628129,6.5673146,-0.0547570,-4.9549298
MsgID.LOCAL_VELOCITY,1527348127.7628129,2.5970221,0.2524655,-0.0423398
MsgID.STATE,1527348127.9649310,True,True
MsgID.GLOBAL_HOME,1527348127.9652810,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348127.9711018,-122.3974521,37.7925462,4.9520000
MsgID.LOCAL_VELOCITY,1527348127.9711018,3.2900000,1.1600000,0.0500000
MsgID.LOCAL_POSITION,1527348128.0148916,7.3658500,0.1241438,-4.9510369
MsgID.LOCAL_VELOCITY,1527348128.0148916,3.3402114,1.2334131,0.0475533
MsgID.GLOBAL_POSITION,1527348128.2230833,-122.3974459,37.7925543,4.9430000
MsgID.LOCAL_VELOCITY,1527348128.2230833,3.6500000,2.3000000,-0.0300000
MsgID.LOCAL_POSITION,1527348128.2255065,8.2043200,0.6520525,-4.9436707
MsgID.LOCAL_VELOCITY,1527348128.2255065,3.6579137,2.3061628,-0.0307320
MsgID.GLOBAL_POSITION,1527348128.4715424,-122.3974367,37.7925637,4.9450000
MsgID.LOCAL_VELOCITY,1527348128.4715424,3.3300000,3.1900000,-0.0600000
MsgID.LOCAL_POSITION,1527348128.4757922,9.2684898,1.4888120,-4.9458618
MsgID.LOCAL_VELOCITY,1527348128.4757922,3.3212674,3.2009635,-0.0608673
MsgID.GLOBAL_POSITION,1527348128.7228773,-122.3974296,37.7925703,4.9490000
MsgID.LOCAL_VELOCITY,1527348128.7228773,2.2600000,2.9800000,-0.0400000
MsgID.LOCAL_POSITION,1527348128.7250841,9.9925890,2.1105502,-4.9493566
MsgID.LOCAL_VELOCITY,1527348128.7250841,2.2444394,2.9801543,-0.0451139
MsgID.STATE,1527348128.9644258,True,True
MsgID.GLOBAL_HOME,1527348128.9661942,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348129.0067067,-122.3974234,37.7925736,4.9500000
MsgID.LOCAL_VELOCITY,1527348129.0067067,1.6900000,2.7500000,-0.0200000
MsgID.LOCAL_POSITION,1527348129.0071001,10.3608999,2.6702430,-4.9506440
MsgID.LOCAL_VELOCITY,1527348129.0071001,1.7140988,2.7663748,-0.0317883
MsgID.GLOBAL_POSITION,1527348129.2225070,-122.3974139,37.7925769,4.9520000
MsgID.LOCAL_VELOCITY,1527348129.2225070,2.9400000,3.1500000,-0.0300000
MsgID.LOCAL_POSITION,1527348129.2269218,10.7266588,3.5167692,-4.9521875
MsgID.LOCAL_VELOCITY,1527348129.2269218,2.9713678,3.1584435,-0.0375528
MsgID.GLOBAL_POSITION,1527348129.4731293,-122.3974032,37.7925850,4.9600000
MsgID.LOCAL_VELOCITY,1527348129.4731293,4.0100000,3.3400000,0.0100000
MsgID.LOCAL_POSITION,1527348129.4779553,11.6356134,4.4613929,-4.9610162
MsgID.LOCAL_VELOCITY,1527348129.4779553,4.0289998,3.3491340,0.0164807
MsgID.GLOBAL_POSITION,1527348129.7220385,-122.3973936,37.7925963,4.9650000
MsgID.LOCAL_VELOCITY,1527348129.7220385,4.8800000,2.9700000,0.0200000
MsgID.LOCAL_POSITION,1527348129.7261961,12.8710852,5.3044319,-4.9659061
MsgID.LOCAL_VELOCITY,1527348129.7261961,4.8813100,2.9706991,0.0261682
MsgID.STATE,1527348129.9653654,True,True
MsgID.GLOBAL_HOME,1527348129.9655454,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348129.9716303,-122.3973861,37.7926069,4.9750000
MsgID.LOCAL_VELOCITY,1527348129.9716303,4.4200000,2.0800000,0.1100000
MsgID.LOCAL_POSITION,1527348130.0149720,14.0576172,5.9743233,-4.9757304
MsgID.LOCAL_VELOCITY,1527348130.0149720,4.4202991,2.0819838,0.1167149
MsgID.GLOBAL_POSITION,1527348130.2219646,-122.3973837,37.7926144,4.9720000
MsgID.LOCAL_VELOCITY,1527348130.2219646,3.6300000,1.6500000,0.1300000
MsgID.LOCAL_POSITION,1527348130.2626557,14.9263868,6.1960468,-4.9728355
MsgID.LOCAL_VELOCITY,1527348130.2626557,3.6364067,1.6640387,0.1462108
MsgID.GLOBAL_POSITION,1527348130.4729342,-122.3973777,37.7926235,4.9720000
MsgID.LOCAL_VELOCITY,1527348130.4729342,4.5400000,2.2400000,0.1300000
MsgID.LOCAL_POSITION,1527348130.4771812,15.8962030,6.7126164,-4.9728203
MsgID.LOCAL_VELOCITY,1527348130.4771812,4.5442743,2.2466922,0.1349138
MsgID.GLOBAL_POSITION,1527348130.7243865,-122.3973686,37.7926345,4.9740000
MsgID.LOCAL_VELOCITY,1527348130.7243865,5.4200000,2.7900000,0.1000000
MsgID.LOCAL_POSITION,1527348130.7261910,17.1412201,7.5383110,-4.9750090
MsgID.LOCAL_VELOCITY,1527348130.7261910,5.4348621,2.8012600,0.1061567
MsgID.STATE,1527348130.9638734,True,True
MsgID.GLOBAL_HOME,1527348130.9656842,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348131.0066371,-122.3973618,37.7926483,4.9700000
MsgID.LOCAL_VELOCITY,1527348131.0066371,5.3600000,2.7300000,0.1200000
MsgID.LOCAL_POSITION,1527348131.0068984,18.6857433,8.1438923,-4.9705186
MsgID.LOCAL_VELOCITY,1527348131.0068984,5.3451996,2.7216520,0.1245544
MsgID.GLOBAL_POSITION,1527348131.2225788,-122.3973561,37.7926601,4.9620000
MsgID.LOCAL_VELOCITY,1527348131.2225788,3.8700000,2.1400000,0.0700000
MsgID.LOCAL_POSITION,1527348131.2268972,19.9839249,8.6440783,-4.9621553
MsgID.LOCAL_VELOCITY,1527348131.2268972,3.8492017,2.1360161,0.0780734
MsgID.GLOBAL_POSITION,1527348131.4742544,-122.3973501,37.7926668,4.9650000
MsgID.LOCAL_VELOCITY,1527348131.4742544,3.1300000,2.0200000,-0.0200000
MsgID.LOCAL_POSITION,1527348131.5148549,20.7169399,9.1753454,-4.9654555
MsgID.LOCAL_VELOCITY,1527348131.5148549,3.1430862,2.0337729,-0.0195580
MsgID.GLOBAL_POSITION,1527348131.7240543,-122.3973440,37.7926731,4.9570000
MsgID.LOCAL_VELOCITY,1527348131.7240543,4.2600000,2.4300000,-0.0100000
MsgID.LOCAL_POSITION,1527348131.7269573,21.4750996,9.7443504,-4.9572916
MsgID.LOCAL_VELOCITY,1527348131.7269573,4.3338518,2.4535084,-0.0241448
MsgID.STATE,1527348131.9650135,True,True
MsgID.GLOBAL_HOME,1527348131.9671314,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348132.0110087,-122.3973378,37.7926855,4.9580000
