MsgID.GLOBAL_POSITION,1527349255.0883560,-122.3974514,37.7924801,0.0450000
MsgID.LOCAL_VELOCITY,1527349255.0883560,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349255.0887516,0.0199599,-0.1303205,-0.0457281
MsgID.LOCAL_VELOCITY,1527349255.0887516,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527349255.0891652,-122.3974502,37.7924800,0.0460000
MsgID.LOCAL_VELOCITY,1527349255.0891652,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349255.0895143,0.0036369,-0.0179361,-0.0467317
MsgID.LOCAL_VELOCITY,1527349255.0895143,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527349255.0898027,-122.3974497,37.7924786,0.0530000
MsgID.LOCAL_VELOCITY,1527349255.0898027,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349255.0900729,-0.1470977,0.0266229,-0.0538727
MsgID.LOCAL_VELOCITY,1527349255.0900729,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527349255.0907333,False,False
MsgID.GLOBAL_HOME,1527349255.0924871,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527349255.0928950,-122.3974511,37.7924794,0.0630000
MsgID.LOCAL_VELOCITY,1527349255.0928950,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349255.0931149,-0.0614248,-0.0983175,-0.0637098
MsgID.LOCAL_VELOCITY,1527349255.0931149,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527349255.1569777,-122.3974507,37.7924797,0.0720000
MsgID.LOCAL_VELOCITY,1527349255.1569777,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349255.1595209,-0.0318190,-0.0663061,-0.0728983
MsgID.LOCAL_VELOCITY,1527349255.1595209,0.0000088,0.0000203,0.0000032
MsgID.GLOBAL_POSITION,1527349255.4080992,-122.3974495,37.7924792,0.0790000
MsgID.LOCAL_VELOCITY,1527349255.4080992,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349255.4099450,-0.0785146,0.0355586,-0.0792368
MsgID.LOCAL_VELOCITY,1527349255.4099450,-0.0000028,0.0000092,0.0000123
MsgID.GLOBAL_POSITION,1527349255.6585777,-122.3974500,37.7924808,0.0810000
MsgID.LOCAL_VELOCITY,1527349255.6585777,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349255.6605263,0.0988971,-0.0004788,-0.0819779
MsgID.LOCAL_VELOCITY,1527349255.6605263,0.0000143,-0.0000090,0.0000088
MsgID.STATE,1527349255.9050016,True,True
MsgID.GLOBAL_HOME,1527349260.0072594,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527349260.0073817,-122.3974500,37.7924807,0.0820000
MsgID.LOCAL_VELOCITY,1527349260.0073817,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0075591,0.0795512,-0.0010303,-0.0824949
MsgID.LOCAL_VELOCITY,1527349260.0075591,0.0000093,0.0000032,0.0000090
MsgID.GLOBAL_POSITION,1527349260.0079017,-122.3974504,37.7924788,0.0820000
MsgID.LOCAL_VELOCITY,1527349260.0079017,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0080626,-0.1774455,0.2556384,-0.0824995
MsgID.LOCAL_VELOCITY,1527349260.0080626,0.0000142,-0.0000103,0.0000155
MsgID.GLOBAL_POSITION,1527349260.0081966,-122.3974490,37.7924806,0.0820000
MsgID.LOCAL_VELOCITY,1527349260.0081966,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0083206,0.0199018,0.3741981,-0.0824995
MsgID.LOCAL_VELOCITY,1527349260.0083206,-0.0000151,-0.0000178,0.0000144
MsgID.GLOBAL_POSITION,1527349260.0084424,-122.3974485,37.7924805,0.0820000
MsgID.LOCAL_VELOCITY,1527349260.0084424,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0085630,0.0121566,0.4223081,-0.0824996
MsgID.LOCAL_VELOCITY,1527349260.0085630,-0.0000104,-0.0000073,0.0000039
MsgID.STATE,1527349260.0088837,True,True
MsgID.GLOBAL_HOME,1527349260.0100667,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349260.0102515,-122.3974499,37.7924785,0.0820000
MsgID.LOCAL_VELOCITY,1527349260.0102515,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0104387,-0.2161659,0.2972057,-0.0824982
MsgID.LOCAL_VELOCITY,1527349260.0104387,-0.0000108,-0.0000157,0.0000122
MsgID.GLOBAL_POSITION,1527349260.0105882,-122.3974509,37.7924786,0.0820000
MsgID.LOCAL_VELOCITY,1527349260.0105882,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0107088,-0.2022602,0.2131214,-0.0821150
MsgID.LOCAL_VELOCITY,1527349260.0107088,-0.0000050,-0.0000051,0.0000143
MsgID.GLOBAL_POSITION,1527349260.0108426,-122.3974514,37.7924794,0.0790000
MsgID.LOCAL_VELOCITY,1527349260.0108426,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0109744,-0.1139689,0.1622788,-0.0796512
MsgID.LOCAL_VELOCITY,1527349260.0109744,0.0000083,-0.0000004,0.0000080
MsgID.GLOBAL_POSITION,1527349260.0111105,-122.3974495,37.7924797,0.0730000
MsgID.LOCAL_VELOCITY,1527349260.0111105,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0112319,-0.0767486,0.3344126,-0.0737657
MsgID.LOCAL_VELOCITY,1527349260.0112319,-0.0000075,-0.0000343,0.0000109
MsgID.STATE,1527349260.0114532,True,True
MsgID.GLOBAL_HOME,1527349260.0116069,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349260.0117245,-122.3974484,37.7924810,0.0640000
MsgID.LOCAL_VELOCITY,1527349260.0117245,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0118682,0.0639100,0.4337645,-0.0647213
MsgID.LOCAL_VELOCITY,1527349260.0118682,-0.0000047,-0.0000045,0.0000042
MsgID.GLOBAL_POSITION,1527349260.0120046,-122.3974504,37.7924816,0.0540000
MsgID.LOCAL_VELOCITY,1527349260.0120046,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0121236,0.1298990,0.2517589,-0.0546177
MsgID.LOCAL_VELOCITY,1527349260.0121236,-0.0000129,-0.0000156,0.0000036
MsgID.GLOBAL_POSITION,1527349260.0122480,-122.3974507,37.7924811,0.0470000
MsgID.LOCAL_VELOCITY,1527349260.0122480,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0123656,0.0718136,0.2286223,-0.0472039
MsgID.LOCAL_VELOCITY,1527349260.0123656,-0.0000234,-0.0000097,0.0000107
MsgID.GLOBAL_POSITION,1527349260.0124879,-122.3974483,37.7924810,0.0450000
MsgID.LOCAL_VELOCITY,1527349260.0124879,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0126038,0.0631308,0.4424290,-0.0454849
MsgID.LOCAL_VELOCITY,1527349260.0126038,0.0000112,0.0000004,0.0000085
MsgID.STATE,1527349260.0128076,True,True
MsgID.GLOBAL_HOME,1527349260.0129480,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349260.0130506,-122.3974500,37.7924790,0.0520000
MsgID.LOCAL_VELOCITY,1527349260.0130506,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0131695,-0.1521828,0.2915243,-0.0523052
MsgID.LOCAL_VELOCITY,1527349260.0131695,-0.0000182,-0.0000189,0.0000081
MsgID.GLOBAL_POSITION,1527349260.0132992,-122.3974506,37.7924796,0.0680000
MsgID.LOCAL_VELOCITY,1527349260.0132992,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0134201,-0.0949595,0.2336406,-0.0687729
MsgID.LOCAL_VELOCITY,1527349260.0134201,-0.0000136,-0.0000278,0.0000117
MsgID.GLOBAL_POSITION,1527349260.0136344,-122.3974504,37.7924796,0.0940000
MsgID.LOCAL_VELOCITY,1527349260.0136344,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0139143,-0.0957955,0.2562387,-0.0945790
MsgID.LOCAL_VELOCITY,1527349260.0139143,0.0000252,-0.0000231,0.0000196
