MsgID.STATE,1527349736.0758207,False,False
MsgID.GLOBAL_HOME,1527349736.0771077,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527349736.0774438,-122.3974495,37.7924812,0.2430000
MsgID.LOCAL_VELOCITY,1527349736.0774438,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349736.0778983,0.1401024,0.0392007,-0.2438486
MsgID.LOCAL_VELOCITY,1527349736.0778983,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527349736.0783248,-122.3974500,37.7924797,0.2430000
MsgID.LOCAL_VELOCITY,1527349736.0783248,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349736.0790119,-0.0274066,-0.0044621,-0.2437842
MsgID.LOCAL_VELOCITY,1527349736.0790119,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527349736.0795262,-122.3974514,37.7924793,0.2420000
MsgID.LOCAL_VELOCITY,1527349736.0795262,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349736.0802751,-0.0728405,-0.1322439,-0.2425478
MsgID.LOCAL_VELOCITY,1527349736.0802751,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527349736.0806172,-122.3974499,37.7924811,0.2400000
MsgID.LOCAL_VELOCITY,1527349736.0806172,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349736.0811095,0.1241765,0.0022516,-0.2405643
MsgID.LOCAL_VELOCITY,1527349736.0811095,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527349736.1369126,True,True
MsgID.GLOBAL_HOME,1527349740.7506928,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527349740.7508240,-122.3974498,37.7924811,0.2360000
MsgID.LOCAL_VELOCITY,1527349740.7508240,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7509649,0.0706577,0.3100874,-0.2367451
MsgID.LOCAL_VELOCITY,1527349740.7509649,-0.0000070,-0.0000316,0.0000159
MsgID.GLOBAL_POSITION,1527349740.7510891,-122.3974500,37.7924816,0.2290000
MsgID.LOCAL_VELOCITY,1527349740.7510891,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7512143,0.1347376,0.2934645,-0.2295592
MsgID.LOCAL_VELOCITY,1527349740.7512143,0.0000143,-0.0000007,0.0000157
MsgID.GLOBAL_POSITION,1527349740.7513475,-122.3974500,37.7924812,0.2160000
MsgID.LOCAL_VELOCITY,1527349740.7513475,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7514679,0.0905928,0.2934003,-0.2166371
MsgID.LOCAL_VELOCITY,1527349740.7514679,-0.0000033,-0.0000313,0.0000125
MsgID.GLOBAL_POSITION,1527349740.7515886,-122.3974500,37.7924803,0.1970000
MsgID.LOCAL_VELOCITY,1527349740.7515886,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7517073,-0.0118173,0.2932890,-0.1970127
MsgID.LOCAL_VELOCITY,1527349740.7517073,0.0000050,-0.0000083,0.0000212
MsgID.STATE,1527349740.7519150,True,True
MsgID.GLOBAL_HOME,1527349740.7524519,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349740.7525887,-122.3974500,37.7924799,0.1640000
MsgID.LOCAL_VELOCITY,1527349740.7525887,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7528348,-0.0531352,0.2925102,-0.1640112
MsgID.LOCAL_VELOCITY,1527349740.7528348,0.0000184,0.0000080,0.0000119
MsgID.GLOBAL_POSITION,1527349740.7532179,-122.3974497,37.7924799,0.1190000
MsgID.LOCAL_VELOCITY,1527349740.7532179,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7534711,-0.0523032,0.3160079,-0.1192573
MsgID.LOCAL_VELOCITY,1527349740.7534711,0.0000061,-0.0000108,0.0000175
MsgID.GLOBAL_POSITION,1527349740.7536285,-122.3974502,37.7924800,0.0710000
MsgID.LOCAL_VELOCITY,1527349740.7536285,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7537534,-0.0492654,0.2734558,-0.0712020
MsgID.LOCAL_VELOCITY,1527349740.7537534,-0.0000052,-0.0000128,0.0000180
MsgID.GLOBAL_POSITION,1527349740.7538908,-122.3974504,37.7924810,0.0250000
MsgID.LOCAL_VELOCITY,1527349740.7538908,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7540312,0.0613861,0.2569649,-0.0252010
MsgID.LOCAL_VELOCITY,1527349740.7540312,0.0000127,-0.0000129,0.0000106
MsgID.STATE,1527349740.7543652,True,True
MsgID.GLOBAL_HOME,1527349740.7545426,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349740.7546608,-122.3974487,37.7924805,-0.0100000
MsgID.LOCAL_VELOCITY,1527349740.7546608,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7547987,0.0080504,0.4075910,0.0108770
MsgID.LOCAL_VELOCITY,1527349740.7547987,0.0000037,0.0000028,0.0000025
MsgID.GLOBAL_POSITION,1527349740.7549489,-122.3974495,37.7924788,-0.0370000
MsgID.LOCAL_VELOCITY,1527349740.7549489,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7550879,-0.1810904,0.3343089,0.0370325
MsgID.LOCAL_VELOCITY,1527349740.7550879,-0.0000071,-0.0000012,0.0000020
MsgID.GLOBAL_POSITION,1527349740.7552488,-122.3974512,37.7924800,-0.0430000
MsgID.LOCAL_VELOCITY,1527349740.7552488,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,1527349740.7553868,-0.0497902,0.1846822,0.0434544
MsgID.LOCAL_VELOCITY,1527349740.7553868,-0.0000326,-0.0002338,-0.0174777
MsgID.GLOBAL_POSITION,1527349740.7555542,-122.3974487,37.7924790,-0.0250000
MsgID.LOCAL_VELOCITY,1527349740.7555542,0.0000000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,1527349740.7557070,-0.1527530,0.4081901,0.0254528
MsgID.LOCAL_VELOCITY,1527349740.7557070,0.0000579,-0.0038222,0.0451351
MsgID.STATE,1527349740.7560656,True,True
MsgID.GLOBAL_HOME,1527349740.7563269,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349740.7565424,-122.3974507,37.7924789,0.0110000
MsgID.LOCAL_VELOCITY,1527349740.7565424,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7567613,-0.1708862,0.2308516,-0.0119801
MsgID.LOCAL_VELOCITY,1527349740.7567613,0.0000145,0.0000086,0.0000052
MsgID.GLOBAL_POSITION,1527349740.7569687,-122.3974511,37.7924794,0.0650000
MsgID.LOCAL_VELOCITY,1527349740.7569687,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7571139,-0.1085689,0.1895532,-0.0651177
MsgID.LOCAL_VELOCITY,1527349740.7571139,0.0000134,0.0000145,0.0000072
MsgID.GLOBAL_POSITION,1527349740.7572584,-122.3974496,37.7924785,0.1230000
MsgID.LOCAL_VELOCITY,1527349740.7572584,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7575092,-0.2093816,0.3292965,-0.1233218
MsgID.LOCAL_VELOCITY,1527349740.7575092,0.0000111,-0.0000130,0.0000140
MsgID.GLOBAL_POSITION,1527349740.7580428,-122.3974501,37.7924786,0.1760000
MsgID.LOCAL_VELOCITY,1527349740.7580428,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7582004,-0.1971215,0.2843674,-0.1761607
MsgID.LOCAL_VELOCITY,1527349740.7582004,-0.0000072,-0.0000021,0.0000114
MsgID.STATE,1527349740.7585528,True,True
MsgID.GLOBAL_HOME,1527349740.7588863,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349740.7591145,-122.3974509,37.7924800,0.2130000
MsgID.LOCAL_VELOCITY,1527349740.7591145,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7592928,-0.0430362,0.2081282,-0.2130086
MsgID.LOCAL_VELOCITY,1527349740.7592928,-0.0000058,0.0000034,0.0000110
MsgID.GLOBAL_POSITION,1527349740.7594998,-122.3974495,37.7924789,0.2300000
MsgID.LOCAL_VELOCITY,1527349740.7594998,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7596631,-0.1637271,0.3371509,-0.2306579
MsgID.LOCAL_VELOCITY,1527349740.7596631,-0.0000113,-0.0000184,0.0000178
MsgID.GLOBAL_POSITION,1527349740.7600565,-122.3974484,37.7924799,0.2280000
MsgID.LOCAL_VELOCITY,1527349740.7600565,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349740.7603042,-0.0582764,0.4348951,-0.2280478
MsgID.LOCAL_VELOCITY,1527349740.7603042,0.0000009,0.0000154,0.0000220
MsgID.GLOBAL_POSITION,1527349740.8996673,-122.3974498,37.7924811,0.2880000
MsgID.LOCAL_VELOCITY,1527349740.8996673,0.0000000,0.0000000,-1.2000000
MsgID.LOCAL_POSITION,1527349740.9024065,0.0790305,0.3037949,-0.2880923
MsgID.LOCAL_VELOCITY,1527349740.9024065,-0.0015017,0.0028296,-1.2013619
MsgID.STATE,1527349741.1419055,True,True
MsgID.GLOBAL_HOME,1527349741.1423786,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349741.1502337,-122.3974499,37.7924801,0.8340000
MsgID.LOCAL_VELOCITY,1527349741.1502337,0.0000000,0.0100000,-3.2900000
MsgID.LOCAL_POSITION,1527349741.1909180,-0.0403419,0.2946370,-0.8404883
MsgID.LOCAL_VELOCITY,1527349741.1909180,-0.0082153,0.0130098,-3.3047972
MsgID.GLOBAL_POSITION,1527349741.3996513,-122.3974504,37.7924800,1.6860000
MsgID.LOCAL_VELOCITY,1527349741.3996513,0.0000000,0.0100000,-4.0300000
MsgID.LOCAL_POSITION,1527349741.4020405,-0.0501498,0.2545937,-1.6860384
MsgID.LOCAL_VELOCITY,1527349741.4020405,-0.0033831,0.0172998,-4.0322461
MsgID.GLOBAL_POSITION,1527349741.6516736,-122.3974516,37.7924804,2.6640000
MsgID.LOCAL_VELOCITY,1527349741.6516736,0.0000000,0.0100000,-4.2700000
MsgID.LOCAL_POSITION,1527349741.6537857,-0.0045862,0.1517379,-2.6813424
MsgID.LOCAL_VELOCITY,1527349741.6537857,0.0080196,0.0200804,-4.2730694
MsgID.GLOBAL_POSITION,1527349741.8997355,-122.3974500,37.7924799,3.7880000
MsgID.LOCAL_VELOCITY,1527349741.8997355,0.0000000,0.0300000,-4.2700000
MsgID.LOCAL_POSITION,1527349741.9044406,-0.0545949,0.2921821,-3.7881536
MsgID.LOCAL_VELOCITY,1527349741.9044406,0.0059218,0.0306118,-4.2722211
MsgID.STATE,1527349742.1412742,True,True
MsgID.GLOBAL_HOME,1527349742.1420076,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349742.1828990,-122.3974500,37.7924804,4.7980000
MsgID.LOCAL_VELOCITY,1527349742.1828990,0.0000000,0.0200000,-3.9700000
MsgID.LOCAL_POSITION,1527349742.1833160,-0.0007754,0.2900613,-4.7987580
MsgID.LOCAL_VELOCITY,1527349742.1833160,0.0069761,0.0284694,-3.9731727
MsgID.GLOBAL_POSITION,1527349742.3998761,-122.3974499,37.7924810,5.4500000
MsgID.LOCAL_VELOCITY,1527349742.3998761,0.0000000,0.0200000,-1.2800000
MsgID.LOCAL_POSITION,1527349742.4425712,0.0641030,0.2961925,-5.4502635
MsgID.LOCAL_VELOCITY,1527349742.4425712,0.0065442,0.0266994,-1.2897054
MsgID.GLOBAL_POSITION,1527349742.6504018,-122.3974513,37.7924799,5.4540000
MsgID.LOCAL_VELOCITY,1527349742.6504018,0.0200000,0.0200000,1.0800000
MsgID.LOCAL_POSITION,1527349742.6910803,-0.0592103,0.1784775,-5.4549098
MsgID.LOCAL_VELOCITY,1527349742.6910803,0.0236799,0.0240521,1.0887176
MsgID.GLOBAL_POSITION,1527349742.9013565,-122.3974497,37.7924819,5.0030000
MsgID.LOCAL_VELOCITY,1527349742.9013565,0.9900000,-0.0100000,1.8600000
MsgID.LOCAL_POSITION,1527349742.9018855,0.1669979,0.3166750,-5.0037818
MsgID.LOCAL_VELOCITY,1527349742.9018855,0.9942845,-0.0115195,1.8633194
MsgID.STATE,1527349743.1422265,True,True
MsgID.GLOBAL_HOME,1527349743.1426365,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349743.1868379,-122.3974483,37.7924852,4.7490000
MsgID.LOCAL_VELOCITY,1527349743.1868379,3.1600000,-0.1400000,0.1900000
MsgID.LOCAL_POSITION,1527349743.1872313,0.5358061,0.4439502,-4.7499404
MsgID.LOCAL_VELOCITY,1527349743.1872313,3.1647871,-0.1412850,0.1992509
MsgID.GLOBAL_POSITION,1527349743.4037764,-122.3974494,37.7924926,4.8590000
MsgID.LOCAL_VELOCITY,1527349743.4037764,4.7300000,-0.3000000,-0.9400000
MsgID.LOCAL_POSITION,1527349743.4055274,1.3552777,0.3443136,-4.8591318
MsgID.LOCAL_VELOCITY,1527349743.4055274,4.7338428,-0.3056834,-0.9477276
MsgID.GLOBAL_POSITION,1527349743.6515892,-122.3974528,37.7925079,5.0240000
MsgID.LOCAL_VELOCITY,1527349743.6515892,5.3400000,-0.3500000,0.0300000
MsgID.LOCAL_POSITION,1527349743.6519434,3.0515015,0.0405473,-5.0242290
MsgID.LOCAL_VELOCITY,1527349743.6519434,5.3445487,-0.3528645,0.0310416
MsgID.GLOBAL_POSITION,1527349743.9040313,-122.3974521,37.7925184,4.9540000
MsgID.LOCAL_VELOCITY,1527349743.9040313,5.3600000,-0.2500000,0.2900000
MsgID.LOCAL_POSITION,1527349743.9052148,4.2170577,0.1047537,-4.9547434
MsgID.LOCAL_VELOCITY,1527349743.9052148,5.3621511,-0.2554555,0.2903044
MsgID.STATE,1527349744.1425257,True,True
MsgID.GLOBAL_HOME,1527349744.1433837,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349744.1870062,-122.3974542,37.7925287,4.9270000
MsgID.LOCAL_VELOCITY,1527349744.1870062,4.0000000,-0.1800000,-0.0800000
MsgID.LOCAL_POSITION,1527349744.1875994,5.3682137,-0.0839782,-4.9278445
MsgID.LOCAL_VELOCITY,1527349744.1875994,4.0029421,-0.1798932,-0.0854795
MsgID.GLOBAL_POSITION,1527349744.4034731,-122.3974548,37.7925368,4.9620000
MsgID.LOCAL_VELOCITY,1527349744.4034731,2.8300000,0.2200000,-0.0600000
MsgID.LOCAL_POSITION,1527349744.4466252,6.2601032,-0.1390805,-4.9627848
MsgID.LOCAL_VELOCITY,1527349744.4466252,2.8376501,0.2240447,-0.0632594
MsgID.GLOBAL_POSITION,1527349744.6524348,-122.3974524,37.7925426,4.9640000
MsgID.LOCAL_VELOCITY,1527349744.6524348,3.4900000,1.1000000,0.0700000
MsgID.LOCAL_POSITION,1527349744.6537139,6.9082880,0.0740475,-4.9645457
MsgID.LOCAL_VELOCITY,1527349744.6537139,3.4904635,1.1010491,0.0732915
MsgID.GLOBAL_POSITION,1527349744.9026220,-122.3974473,37.7925508,4.9670000
MsgID.LOCAL_VELOCITY,1527349744.9026220,3.9600000,2.1600000,0.0300000
MsgID.LOCAL_POSITION,1527349744.9031296,7.8182635,0.5299190,-4.9679518
MsgID.LOCAL_VELOCITY,1527349744.9031296,3.9673426,2.1614535,0.0345083
MsgID.STATE,1527349745.1408515,True,True
MsgID.GLOBAL_HOME,1527349745.1431062,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349745.1872199,-122.3974383,37.7925605,4.9690000
MsgID.LOCAL_VELOCITY,1527349745.1872199,3.8200000,3.0800000,0.1200000
