MsgID.GLOBAL_HOME,1527347599.7494469,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347599.7495508,-122.3974472,37.7924813,5.0140000
MsgID.LOCAL_VELOCITY,1527347599.7495508,0.0000000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,1527347599.7497072,0.1122576,0.5420486,-5.0139647
MsgID.LOCAL_VELOCITY,1527347599.7497072,0.0099511,0.0075876,0.0462756
MsgID.GLOBAL_POSITION,1527347599.7502356,-122.3974486,37.7924820,5.0110000
MsgID.LOCAL_VELOCITY,1527347599.7502356,0.0000000,0.0000000,0.0200000
MsgID.LOCAL_POSITION,1527347599.7505517,0.1744049,0.3966931,-5.0111451
MsgID.LOCAL_VELOCITY,1527347599.7505517,0.0062828,-0.0063943,0.0099095
MsgID.GLOBAL_POSITION,1527347599.7510607,-122.3974496,37.7924817,5.0080000
MsgID.LOCAL_VELOCITY,1527347599.7510607,0.0000000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1527347599.7513552,0.1445540,0.3329947,-5.0081720
MsgID.LOCAL_VELOCITY,1527347599.7513552,-0.0034917,-0.0029726,0.0109680
MsgID.GLOBAL_POSITION,1527347599.7519934,-122.3974484,37.7924817,5.0120000
MsgID.LOCAL_VELOCITY,1527347599.7519934,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,1527347599.7523482,0.1429898,0.4331350,-5.0130291
MsgID.LOCAL_VELOCITY,1527347599.7523482,-0.0030785,0.0054209,-0.0269421
MsgID.STATE,1527347599.7532370,True,True
MsgID.GLOBAL_HOME,1527347599.7537446,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347599.7543647,-122.3974491,37.7924811,5.0130000
MsgID.LOCAL_VELOCITY,1527347599.7543647,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,1527347599.7548285,0.0694373,0.3725564,-5.0134225
MsgID.LOCAL_VELOCITY,1527347599.7548285,-0.0030730,0.0030880,0.0038697
MsgID.GLOBAL_POSITION,1527347599.7556009,-122.3974474,37.7924800,5.0130000
MsgID.LOCAL_VELOCITY,1527347599.7556009,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527347599.7564304,-0.0435607,0.5254286,-5.0143619
MsgID.LOCAL_VELOCITY,1527347599.7564304,-0.0000258,0.0008429,-0.0123122
MsgID.GLOBAL_POSITION,1527347599.8741109,-122.3974486,37.7924807,5.0120000
MsgID.LOCAL_VELOCITY,1527347599.8741109,0.0900000,-0.0100000,0.0900000
MsgID.LOCAL_POSITION,1527347599.8918436,0.0442620,0.3961457,-5.0117650
MsgID.LOCAL_VELOCITY,1527347599.8918436,0.1280310,-0.0212521,0.0827650
MsgID.GLOBAL_POSITION,1527347600.1238763,-122.3974501,37.7924829,5.0090000
MsgID.LOCAL_VELOCITY,1527347600.1238763,1.1700000,-0.0800000,0.0500000
MsgID.LOCAL_POSITION,1527347600.1403341,0.3021233,0.2882715,-5.0095310
MsgID.LOCAL_VELOCITY,1527347600.1403341,1.2755877,-0.0940746,0.0491014
MsgID.STATE,1527347600.2780623,True,True
MsgID.GLOBAL_HOME,1527347600.2812519,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347600.3762026,-122.3974480,37.7924873,5.0110000
MsgID.LOCAL_VELOCITY,1527347600.3762026,2.5400000,-0.1500000,0.0700000
MsgID.LOCAL_POSITION,1527347600.3919692,0.7967015,0.4735100,-5.0116229
MsgID.LOCAL_VELOCITY,1527347600.3919692,2.6062546,-0.1600425,0.0847037
MsgID.GLOBAL_POSITION,1527347600.6263986,-122.3974502,37.7924931,5.0040000
MsgID.LOCAL_VELOCITY,1527347600.6263986,3.6500000,-0.2600000,0.0800000
MsgID.LOCAL_POSITION,1527347600.6424179,1.4796699,0.2432010,-5.0043097
MsgID.LOCAL_VELOCITY,1527347600.6424179,3.7477295,-0.2748379,0.0746278
MsgID.GLOBAL_POSITION,1527347600.8761978,-122.3974528,37.7925035,5.0030000
MsgID.LOCAL_VELOCITY,1527347600.8761978,4.7400000,-0.3100000,0.0200000
MsgID.LOCAL_POSITION,1527347600.8922288,2.6565986,0.0331073,-5.0036879
MsgID.LOCAL_VELOCITY,1527347600.8922288,4.8178062,-0.3069242,0.0185407
MsgID.GLOBAL_POSITION,1527347601.1251736,-122.3974519,37.7925158,4.9960000
MsgID.LOCAL_VELOCITY,1527347601.1251736,5.4300000,-0.2000000,-0.0100000
MsgID.LOCAL_POSITION,1527347601.1413136,4.0137982,0.1248366,-4.9964619
MsgID.LOCAL_VELOCITY,1527347601.1413136,5.4335308,-0.1997778,-0.0216568
MsgID.STATE,1527347601.2778988,True,True
MsgID.GLOBAL_HOME,1527347601.2801719,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347601.3746855,-122.3974518,37.7925269,4.9860000
MsgID.LOCAL_VELOCITY,1527347601.3746855,4.6300000,-0.1900000,-0.0300000
MsgID.LOCAL_POSITION,1527347601.3926733,5.2700205,0.1249362,-4.9860339
MsgID.LOCAL_VELOCITY,1527347601.3926733,4.4809575,-0.1972202,-0.0433399
MsgID.GLOBAL_POSITION,1527347601.6262467,-122.3974520,37.7925357,4.9860000
MsgID.LOCAL_VELOCITY,1527347601.6262467,3.4700000,0.1400000,-0.1300000
MsgID.LOCAL_POSITION,1527347601.6665010,6.2060165,0.1211762,-4.9872360
MsgID.LOCAL_VELOCITY,1527347601.6665010,3.4815590,0.2044769,-0.1405531
MsgID.GLOBAL_POSITION,1527347601.8768539,-122.3974511,37.7925456,4.9880000
MsgID.LOCAL_VELOCITY,1527347601.8768539,4.1100000,1.1600000,-0.1100000
MsgID.LOCAL_POSITION,1527347601.8925712,7.3019996,0.1954047,-4.9882493
MsgID.LOCAL_VELOCITY,1527347601.8925712,4.1469674,1.2304980,-0.1249149
MsgID.GLOBAL_POSITION,1527347602.1248140,-122.3974474,37.7925546,4.9900000
MsgID.LOCAL_VELOCITY,1527347602.1248140,4.3000000,2.2600000,-0.1100000
MsgID.LOCAL_POSITION,1527347602.1418381,8.3021641,0.5578672,-4.9905300
MsgID.LOCAL_VELOCITY,1527347602.1418381,4.2898989,2.3264713,-0.1065767
MsgID.STATE,1527347602.2774675,True,True
MsgID.GLOBAL_HOME,1527347602.2804821,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347602.3758800,-122.3974381,37.7925629,4.9970000
MsgID.LOCAL_VELOCITY,1527347602.3758800,3.6700000,3.2100000,-0.1000000
MsgID.LOCAL_POSITION,1527347602.3936079,9.2526083,1.4311223,-4.9978175
MsgID.LOCAL_VELOCITY,1527347602.3936079,3.5748870,3.2573504,-0.1044710
MsgID.GLOBAL_POSITION,1527347602.6258852,-122.3974286,37.7925702,4.9980000
MsgID.LOCAL_VELOCITY,1527347602.6258852,2.4300000,3.0900000,-0.0400000
MsgID.LOCAL_POSITION,1527347602.6459336,10.0165510,2.2534051,-4.9990788
MsgID.LOCAL_VELOCITY,1527347602.6459336,2.3206184,3.0410817,-0.0435405
MsgID.GLOBAL_POSITION,1527347602.8751225,-122.3974208,37.7925744,5.0050000
MsgID.LOCAL_VELOCITY,1527347602.8751225,1.7300000,2.7400000,0.0000000
MsgID.LOCAL_POSITION,1527347602.9187887,10.4901342,2.9506066,-5.0059872
MsgID.LOCAL_VELOCITY,1527347602.9187887,1.7906309,2.7604494,0.0029967
MsgID.GLOBAL_POSITION,1527347603.1254554,-122.3974123,37.7925792,5.0100000
MsgID.LOCAL_VELOCITY,1527347603.1254554,2.9500000,3.0800000,0.0400000
MsgID.LOCAL_POSITION,1527347603.1458836,11.0248566,3.7007737,-5.0112028
MsgID.LOCAL_VELOCITY,1527347603.1458836,3.0614700,3.1130619,0.0580317
MsgID.STATE,1527347603.2779648,True,True
MsgID.GLOBAL_HOME,1527347603.2825370,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347603.3771169,-122.3974036,37.7925858,5.0150000
MsgID.LOCAL_VELOCITY,1527347603.3771169,4.0700000,3.2900000,0.0600000
MsgID.LOCAL_POSITION,1527347603.3945282,11.7778978,4.4701762,-5.0161061
MsgID.LOCAL_VELOCITY,1527347603.3945282,4.1328430,3.2926109,0.0809962
MsgID.GLOBAL_POSITION,1527347603.6269939,-122.3973942,37.7925969,5.0180000
MsgID.LOCAL_VELOCITY,1527347603.6269939,4.8300000,3.0200000,0.1500000
MsgID.LOCAL_POSITION,1527347603.6445136,13.0630903,5.3236451,-5.0179868
MsgID.LOCAL_VELOCITY,1527347603.6445136,4.8555307,2.9638023,0.1593283
MsgID.GLOBAL_POSITION,1527347603.8762078,-122.3973875,37.7926080,5.0090000
MsgID.LOCAL_VELOCITY,1527347603.8762078,4.3000000,2.1300000,0.1200000
MsgID.LOCAL_POSITION,1527347603.8954513,14.2913208,5.8817849,-5.0091157
MsgID.LOCAL_VELOCITY,1527347603.8954513,4.1655273,2.0251362,0.1360727
MsgID.GLOBAL_POSITION,1527347604.1262236,-122.3973825,37.7926165,5.0100000
MsgID.LOCAL_VELOCITY,1527347604.1262236,3.5000000,1.7800000,0.0900000
MsgID.LOCAL_POSITION,1527347604.1670969,15.2127476,6.3621540,-5.0101399
MsgID.LOCAL_VELOCITY,1527347604.1670969,3.5446858,1.8330340,0.1043556
MsgID.STATE,1527347604.2772532,True,True
MsgID.GLOBAL_HOME,1527347604.2818441,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347604.3766160,-122.3973747,37.7926252,5.0060000
MsgID.LOCAL_VELOCITY,1527347604.3766160,4.4600000,2.3200000,0.0600000
MsgID.LOCAL_POSITION,1527347604.3945239,16.2150459,7.0544610,-5.0061793
MsgID.LOCAL_VELOCITY,1527347604.3945239,4.5980330,2.3887622,0.0572765
MsgID.GLOBAL_POSITION,1527347604.6274190,-122.3973685,37.7926364,5.0080000
MsgID.LOCAL_VELOCITY,1527347604.6274190,5.3900000,2.7700000,0.0200000
MsgID.LOCAL_POSITION,1527347604.6445522,17.4227219,7.5725160,-5.0088181
MsgID.LOCAL_VELOCITY,1527347604.6445522,5.4284730,2.7860126,0.0327222
MsgID.GLOBAL_POSITION,1527347604.8776302,-122.3973613,37.7926486,5.0050000
MsgID.LOCAL_VELOCITY,1527347604.8776302,5.1800000,2.6800000,0.0500000
MsgID.LOCAL_POSITION,1527347604.8947153,18.7702293,8.2186899,-5.0049500
MsgID.LOCAL_VELOCITY,1527347604.8947153,5.1231704,2.6562622,0.0638456
MsgID.GLOBAL_POSITION,1527347605.1269834,-122.3973545,37.7926581,4.9970000
MsgID.LOCAL_VELOCITY,1527347605.1269834,3.6800000,2.0600000,0.0000000
MsgID.LOCAL_POSITION,1527347605.1451745,19.8036995,8.8136778,-4.9973803
MsgID.LOCAL_VELOCITY,1527347605.1451745,3.5722291,2.0132494,-0.0030415
MsgID.STATE,1527347605.2777109,True,True
MsgID.GLOBAL_HOME,1527347605.2819459,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347605.3774087,-122.3973491,37.7926650,4.9990000
MsgID.LOCAL_VELOCITY,1527347605.3774087,2.9400000,1.8000000,-0.0300000
MsgID.LOCAL_POSITION,1527347605.3965244,20.5642891,9.2882242,-4.9999800
MsgID.LOCAL_VELOCITY,1527347605.3965244,2.9846804,1.8247552,-0.0396969
MsgID.GLOBAL_POSITION,1527347605.6271391,-122.3973451,37.7926734,5.0050000
MsgID.LOCAL_VELOCITY,1527347605.6271391,4.1000000,2.2000000,-0.0200000
MsgID.LOCAL_POSITION,1527347605.6447754,21.5153313,9.6419077,-5.0057960
MsgID.LOCAL_VELOCITY,1527347605.6447754,4.1819229,2.2242856,-0.0102712
MsgID.GLOBAL_POSITION,1527347605.8771465,-122.3973378,37.7926834,5.0040000
MsgID.LOCAL_VELOCITY,1527347605.8771465,4.5400000,2.3000000,0.0600000
MsgID.LOCAL_POSITION,1527347605.8965116,22.6257496,10.3105621,-5.0035148
MsgID.LOCAL_VELOCITY,1527347605.8965116,4.5123920,2.2946501,0.0738738
MsgID.GLOBAL_POSITION,1527347606.1274374,-122.3973311,37.7926916,4.9950000
MsgID.LOCAL_VELOCITY,1527347606.1274374,3.4700000,1.7700000,0.0000000
MsgID.LOCAL_POSITION,1527347606.1460471,23.5193825,10.8892183,-4.9952550
MsgID.LOCAL_VELOCITY,1527347606.1460471,3.3612385,1.7122537,-0.0062751
MsgID.STATE,1527347606.2782540,True,True
MsgID.GLOBAL_HOME,1527347606.2802327,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347606.3779161,-122.3973271,37.7926993,4.9990000
MsgID.LOCAL_VELOCITY,1527347606.3779161,2.7300000,1.4100000,0.0200000
MsgID.LOCAL_POSITION,1527347606.3953283,24.3868942,11.2327919,-4.9994760
MsgID.LOCAL_VELOCITY,1527347606.3953283,2.7769954,1.4314790,0.0196050
MsgID.GLOBAL_POSITION,1527347606.6271746,-122.3973216,37.7927081,4.9940000
MsgID.LOCAL_VELOCITY,1527347606.6271746,3.9800000,1.7400000,0.0000000
MsgID.LOCAL_POSITION,1527347606.6466951,25.3549309,11.7329493,-4.9942155
MsgID.LOCAL_VELOCITY,1527347606.6466951,4.0660233,1.7643821,-0.0127769
MsgID.GLOBAL_POSITION,1527347606.8766491,-122.3973162,37.7927173,4.9970000
MsgID.LOCAL_VELOCITY,1527347606.8766491,5.0500000,1.9300000,-0.0300000
MsgID.LOCAL_POSITION,1527347606.8954403,26.3873272,12.2018566,-4.9971004
MsgID.LOCAL_VELOCITY,1527347606.8954403,5.0914831,1.9307317,-0.0281330
MsgID.GLOBAL_POSITION,1527347607.1286852,-122.3973123,37.7927275,4.9980000
MsgID.LOCAL_VELOCITY,1527347607.1286852,5.0200000,1.7000000,-0.0400000
MsgID.LOCAL_POSITION,1527347607.1455991,27.5396461,12.5554771,-4.9982033
MsgID.LOCAL_VELOCITY,1527347607.1455991,4.9652052,1.6758465,-0.0562422
MsgID.STATE,1527347607.2770696,True,True
MsgID.GLOBAL_HOME,1527347607.2814128,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347607.3769896,-122.3973082,37.7927386,4.9990000
MsgID.LOCAL_VELOCITY,1527347607.3769896,3.7700000,1.2300000,-0.0200000
MsgID.LOCAL_POSITION,1527347607.3969998,28.7673740,12.9136143,-4.9988732
MsgID.LOCAL_VELOCITY,1527347607.3969998,3.6765299,1.2006602,-0.0186491
MsgID.GLOBAL_POSITION,1527347607.6287074,-122.3973048,37.7927468,4.9980000
MsgID.LOCAL_VELOCITY,1527347607.6287074,2.9900000,1.1300000,-0.0200000
MsgID.LOCAL_POSITION,1527347607.6709054,29.6484394,13.2239618,-4.9988399
MsgID.LOCAL_VELOCITY,1527347607.6709054,3.0416801,1.1605539,-0.0343789
MsgID.GLOBAL_POSITION,1527347607.8796618,-122.3973019,37.7927539,5.0050000
MsgID.LOCAL_VELOCITY,1527347607.8796618,4.1500000,1.5700000,-0.0100000
MsgID.LOCAL_POSITION,1527347607.8965862,30.4605999,13.4671373,-5.0058479
MsgID.LOCAL_VELOCITY,1527347607.8965862,4.2323666,1.6083242,-0.0038118
MsgID.GLOBAL_POSITION,1527347608.1286526,-122.3972979,37.7927641,5.0070000
MsgID.LOCAL_VELOCITY,1527347608.1286526,5.0600000,2.0300000,0.0100000
MsgID.LOCAL_POSITION,1527347608.1475899,31.6246357,13.8554220,-5.0080981
MsgID.LOCAL_VELOCITY,1527347608.1475899,5.0926280,2.0625594,0.0218060
MsgID.STATE,1527347608.2777812,True,True
MsgID.GLOBAL_HOME,1527347608.2819567,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347608.3778803,-122.3972901,37.7927753,5.0120000
MsgID.LOCAL_VELOCITY,1527347608.3778803,4.8100000,2.0500000,0.0700000
MsgID.LOCAL_POSITION,1527347608.3970294,32.8745880,14.5702276,-5.0125537
MsgID.LOCAL_VELOCITY,1527347608.3970294,4.7219005,2.0253160,0.1001441
MsgID.GLOBAL_POSITION,1527347608.6283433,-122.3972844,37.7927837,5.0150000
MsgID.LOCAL_VELOCITY,1527347608.6283433,3.4100000,1.4600000,0.1100000
MsgID.LOCAL_POSITION,1527347608.6465473,33.7652245,15.0376329,-5.0155716
MsgID.LOCAL_VELOCITY,1527347608.6465473,3.2924294,1.4111035,0.1127495
MsgID.GLOBAL_POSITION,1527347608.8786955,-122.3972821,37.7927919,5.0170000
MsgID.LOCAL_VELOCITY,1527347608.8786955,2.5500000,0.5600000,0.1400000
MsgID.LOCAL_POSITION,1527347608.9226503,34.6763382,15.2192678,-5.0173340
MsgID.LOCAL_VELOCITY,1527347608.9226503,2.5826263,0.4734049,0.1344659
MsgID.GLOBAL_POSITION,1527347609.1279175,-122.3972822,37.7927988,5.0150000
MsgID.LOCAL_VELOCITY,1527347609.1279175,3.1200000,-0.5200000,0.1300000
MsgID.LOCAL_POSITION,1527347609.1473775,35.4235268,15.1886053,-5.0160117
MsgID.LOCAL_VELOCITY,1527347609.1473775,3.1659739,-0.6019190,0.1356712
MsgID.STATE,1527347609.2791295,True,True
MsgID.GLOBAL_HOME,1527347609.2817051,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347609.3782036,-122.3972867,37.7928065,5.0150000
MsgID.LOCAL_VELOCITY,1527347609.3782036,3.5200000,-1.6300000,0.1700000
MsgID.LOCAL_POSITION,1527347609.3967376,36.3500786,14.7492790,-5.0135264
MsgID.LOCAL_VELOCITY,1527347609.3967376,3.5622635,-1.7673104,0.1704545
MsgID.GLOBAL_POSITION,1527347609.6292505,-122.3972915,37.7928148,5.0120000
MsgID.LOCAL_VELOCITY,1527347609.6292505,3.8200000,-2.7300000,0.1100000
MsgID.LOCAL_POSITION,1527347609.6481633,37.1970444,14.3570557,-5.0119567
MsgID.LOCAL_VELOCITY,1527347609.6481633,3.8405538,-2.7953980,0.1049086
MsgID.GLOBAL_POSITION,1527347609.8782558,-122.3972990,37.7928222,5.0060000
MsgID.LOCAL_VELOCITY,1527347609.8782558,4.1100000,-3.7500000,0.0900000
MsgID.LOCAL_POSITION,1527347609.8975017,38.0684280,13.6177082,-5.0053082
MsgID.LOCAL_VELOCITY,1527347609.8975017,4.1407504,-3.8473701,0.0923426
MsgID.GLOBAL_POSITION,1527347610.1294322,-122.3973114,37.7928325,4.9980000
MsgID.LOCAL_VELOCITY,1527347610.1294322,4.4000000,-4.7700000,0.0200000
MsgID.LOCAL_POSITION,1527347610.1485996,39.1929741,12.5371819,-4.9981465
MsgID.LOCAL_VELOCITY,1527347610.1485996,4.4273801,-4.8416290,0.0118837
MsgID.STATE,1527347610.2782001,True,True
MsgID.GLOBAL_HOME,1527347610.2809913,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347610.3784347,-122.3973259,37.7928416,4.9980000
MsgID.LOCAL_VELOCITY,1527347610.3784347,4.6700000,-5.6700000,-0.0200000
MsgID.LOCAL_POSITION,1527347610.3972602,40.2250938,11.1914883,-4.9978027
MsgID.LOCAL_VELOCITY,1527347610.3972602,4.6963787,-5.7547159,-0.0278233
MsgID.GLOBAL_POSITION,1527347610.6283746,-122.3973433,37.7928522,4.9870000
MsgID.LOCAL_VELOCITY,1527347610.6283746,4.9400000,-6.4500000,-0.0600000
MsgID.LOCAL_POSITION,1527347610.6476445,41.4856873,9.5642853,-4.9872484
MsgID.LOCAL_VELOCITY,1527347610.6476445,4.9836421,-6.5396671,-0.0728400
MsgID.GLOBAL_POSITION,1527347610.8787799,-122.3973627,37.7928648,4.9830000
MsgID.LOCAL_VELOCITY,1527347610.8787799,5.1300000,-6.9200000,-0.0800000
MsgID.LOCAL_POSITION,1527347610.8984885,42.7787247,7.9431019,-4.9830375
MsgID.LOCAL_VELOCITY,1527347610.8984885,5.1373940,-6.9423304,-0.0781325
MsgID.GLOBAL_POSITION,1527347611.1293602,-122.3973821,37.7928748,4.9810000
MsgID.LOCAL_VELOCITY,1527347611.1293602,5.1400000,-7.1100000,-0.1500000
MsgID.LOCAL_POSITION,1527347611.1484823,43.9068565,6.1946054,-4.9822769
MsgID.LOCAL_VELOCITY,1527347611.1484823,5.1479545,-7.1284170,-0.1624168
MsgID.STATE,1527347611.2775848,True,True
MsgID.GLOBAL_HOME,1527347611.2816083,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347611.3790343,-122.3974050,37.7928886,4.9830000
MsgID.LOCAL_VELOCITY,1527347611.3790343,5.0800000,-6.9500000,-0.0800000
MsgID.LOCAL_POSITION,1527347611.3985839,45.3825836,4.2453904,-4.9828553
MsgID.LOCAL_VELOCITY,1527347611.3985839,5.0742097,-6.9389081,-0.0782527
MsgID.GLOBAL_POSITION,1527347611.6297836,-122.3974228,37.7928991,4.9850000
MsgID.LOCAL_VELOCITY,1527347611.6297836,4.2500000,-5.7500000,-0.1400000
MsgID.LOCAL_POSITION,1527347611.6487107,46.5729866,2.6144302,-4.9858637
MsgID.LOCAL_VELOCITY,1527347611.6487107,4.1785545,-5.6637416,-0.1308894
MsgID.GLOBAL_POSITION,1527347611.8801999,-122.3974368,37.7929068,4.9870000
MsgID.LOCAL_VELOCITY,1527347611.8801999,3.7300000,-5.0000000,-0.0700000
MsgID.LOCAL_POSITION,1527347611.9230568,47.4412613,1.3904102,-4.9870725
